Welcome to the profile statistics browser.
out_profile/demo.pts% out_profile/demo.pts% Sat Jul 13 23:24:38 2024    out_profile/demo.pts

         2834940 function calls (2799893 primitive calls) in 75.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:1402(_insert_update_mgr_locs)
       15    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/console.py:54(in_interactive_session)
      100    0.000    0.000    0.021    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:6162(get_indexer_for)
      561    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:748(find_spec)
      374    0.000    0.000    0.007    0.000 /usr/lib/python3.11/re/__init__.py:178(sub)
       23    0.000    0.000    0.006    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:3449(intersection)
      287    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:609(_dtype_to_subclass)
       65    0.000    0.000    0.005    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/strings/object_array.py:301(_str_len)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/sysconfig.py:253(_extend_dict)
       52    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/ma/core.py:917(__init__)
       32    0.000    0.000    0.002    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1352(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       23    0.000    0.000    1.363    0.059 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:4757(drop)
       13    0.000    0.000    0.002    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/construction.py:237(ndarray_to_mgr)
       61    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
      191    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:7723(_unpack_nested_dtype)
      277    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:1993(dtype)
      592    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      994    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:1671(name)
  230/193    0.000    0.000    0.001    0.000 /usr/lib/python3.11/typing.py:1669(__hash__)
      713    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1365(__eq__)
       70    0.000    0.000    0.008    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/accessor.py:220(__get__)
      624    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      504    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1664(__eq__)
       33    0.000    0.000    1.346    0.041 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:6662(copy)
       33    0.000    0.000    0.007    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:4481(_set_item_mgr)
       46    0.000    0.000    0.002    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:4883(_update_inplace)
      143    0.000    0.000    0.012    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_decorators.py:484(__call__)
      415    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/_dtype.py:336(_name_includes_bit_suffix)
      796    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:895(__eq__)
      204    0.000    0.000    0.002    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:1798(<genexpr>)
       32    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1834(<listcomp>)
     2324    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
      191    0.000    0.000    0.002    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:6415(_is_comparable_dtype)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.11/urllib/parse.py:452(urlsplit)
       28    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_config/config.py:479(__enter__)
       67    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/fromnumeric.py:3068(prod)
      270    0.000    0.000    0.005    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_decorators.py:387(<listcomp>)
       23    0.000    0.000    0.007    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/reshape/merge.py:2697(_items_overlap_with_suffix)
       60    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:7664(trim_front)
      100    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:773(_view)
       70    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexing.py:1652(_is_scalar_access)
       23    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:1697(_validate_names)
        1    0.000    0.000    0.003    0.003 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:263(Series)
       32    0.000    0.000    0.006    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1805(_trim_zeros_float)
       44    0.000    0.000    0.005    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:5242(_sanitize_column)
       64    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_decorators.py:443(__call__)
       92    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      415    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/_dtype.py:24(_kind_name)
      601    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/blocks.py:718(dtype)
       14    0.000    0.000    0.000    0.000 {built-in method _csv.writer}
       17    0.000    0.000    0.002    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:5818(head)
      206    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:826(__setattr__)
       61    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      313    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/function_base.py:488(_add_docstring)
       19    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_decorators.py:307(<listcomp>)
     1610    0.000    0.000    0.000    0.000 {method 'rjust' of 'str' objects}
       10    0.000    0.000    0.013    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:1535(_insert_inaxis_grouper)
       46    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:4201(_convert_slice_indexer)
     1556    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       23    0.000    0.000    0.440    0.019 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/reshape/concat.py:157(concat)
        3    0.000    0.000    0.049    0.016 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:10136(aggregate)
      126    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/computation/expr.py:192(<genexpr>)
       36    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1482(<listcomp>)
       15    0.000    0.000    0.099    0.007 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:939(to_string)
      994    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:246(items)
       14    0.000    0.000    0.038    0.003 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:965(to_csv)
      158    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/inference.py:195(is_array_like)
     1711    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       32    0.000    0.000    0.009    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1397(format_values_with)
       15    0.000    0.000    0.106    0.007 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:1204(__repr__)
       19    0.000    0.000    0.335    0.018 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:4130(_getitem_bool_array)
      503    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_utils/_inspect.py:13(ismethod)
       61    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       58    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1851(__init_subclass__)
    97/72    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_compiler.py:434(_get_literal_prefix)
        7    0.000    0.000    0.001    0.000 /usr/lib/python3.11/importlib/metadata/__init__.py:827(__init__)
      140    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexing.py:1574(_validate_key)
       34    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:2311(_fast_count_smallints)
       65    0.000    0.000    0.002    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/nanops.py:389(new_func)
      275    0.000    0.000    0.005    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/_methods.py:42(_amax)
      374    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1399(_get_dtype)
       22    0.000    0.000    1.354    0.062 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:1931(_drop_labels_or_levels)
      130    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1165(__init__)
      210    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:4623(_clear_item_cache)
      776    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/multiarray.py:1089(copyto)
       46    0.000    0.000    0.003    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:4342(_getitem_slice)
        1    0.000    0.000    0.012    0.012 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/numeric.py:1(<module>)
      153    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:369(_escape)
       11    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/grouper.py:527(__init__)
     1496    0.000    0.000    0.000    0.000 {built-in method math.isnan}
      558    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:1093(__new__)
       78    0.000    0.000    0.009    0.000 /usr/lib/python3.11/re/_compiler.py:571(_code)
      136    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:4379(_set_is_copy)
       19    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexers/utils.py:419(check_array_indexer)
      473    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:123(<lambda>)
        6    0.000    0.000    1.515    0.253 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:190(movies_quality)
       14    0.000    0.000    0.040    0.003 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:3797(to_csv)
       61    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       16    0.000    0.000    0.498    0.031 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:6110(_cmp_method)
       29    0.000    0.000    0.143    0.005 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_decorators.py:325(wrapper)
      454    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      473    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:121(classes)
       23    0.000    0.000    0.428    0.019 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/concat.py:202(_maybe_reindex_columns_na_proxy)
       65    0.000    0.000    0.004    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:12397(max)
       23    0.000    0.000    0.004    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:3535(_intersection)
      350    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      258    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:667(_info_axis)
        1    0.000    0.000    0.002    0.002 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/strings/accessor.py:157(StringMethods)
       20    0.000    0.000    0.001    0.000 /usr/lib/python3.11/urllib/parse.py:374(urlparse)
      503    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_utils/_inspect.py:26(isfunction)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/six.py:1(<module>)
      226    0.000    0.000    0.050    0.000 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:23(<lambda>)
      124    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:82(opengroup)
      412    0.000    0.000    0.000    0.000 /usr/lib/python3.11/email/feedparser.py:77(readline)
      521    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:109(__init__)
       65    0.000    0.000    0.004    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:6509(max)
       65    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/nanops.py:1547(check_below_min_count)
  332/274    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1371(__hash__)
      570    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.084    0.084 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:265(geopolitical_data)
        2    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/reshape/merge.py:2644(<genexpr>)
       23    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/reshape/merge.py:1363(_maybe_coerce_merge_keys)
       29    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:582(_calc_max_cols_fitted)
        7    0.000    0.000    1.635    0.234 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:166(get_top_countries)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:320(Index)
       33    0.000    0.000    0.011    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:4514(_set_item)
       14    0.000    0.000    0.001    0.000 /usr/lib/python3.11/pathlib.py:1245(is_dir)
      127    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
      484    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_utils/_inspect.py:41(iscode)
    45/12    0.000    0.000    0.004    0.000 /usr/lib/python3.11/typing.py:1380(__getitem__)
     1043    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
      219    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_compiler.py:396(_simple)
       64    0.000    0.000    0.002    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1819(should_trim)
    21/20    0.000    0.000    0.002    0.000 /usr/lib/python3.11/inspect.py:2428(_signature_from_callable)
      140    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexing.py:1667(_validate_integer)
       14    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/csvs.py:277(_save_header)
       20    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/common.py:550(infer_compression)
       10    0.000    0.000    0.293    0.029 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/ops.py:758(_get_compressed_codes)
       23    0.000    0.000   18.954    0.824 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/reshape/merge.py:1129(_get_join_info)
       64    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/ops/common.py:43(_unpack_zerodim_and_defer)
        1    0.000    0.000    0.024    0.024 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/_typing.py:1(<module>)
    83/82    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
       83    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:309(_class_escape)
      102    0.000    0.000    0.001    0.000 /usr/lib/python3.11/typing.py:845(__init__)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.11/email/feedparser.py:216(_parsegen)
       40    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/common.py:1165(_is_binary_mode)
      280    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pycountry/db.py:10(__init__)
      277    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:707(dtype)
       32    0.000    0.000    0.003    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1349(format_with_na_rep)
       33    0.000    0.000    0.004    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:6432(dtypes)
      100    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:1010(view)
      298    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:131(<lambda>)
      594    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      280    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pycountry/db.py:18(__setattr__)
        8    0.000    0.000   12.376    1.547 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:4557(join)
       31    0.000    0.000    0.002    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexing.py:1756(_get_slice_axis)
       68    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:2320(_preprocess_slice_or_indexer)
       68    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:572(condition)
       65    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/nanops.py:1499(_maybe_null_out)
      654    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:736(<genexpr>)
       64    0.000    0.000    0.010    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:1425(_format_flat)
      241    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:48(_is_dunder)
        3    0.000    0.000    0.002    0.001 /usr/lib/python3.11/dataclasses.py:884(_process_class)
        1    0.000    0.000    0.053    0.053 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/__init__.py:1(<module>)
       23    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/reshape/concat.py:494(_clean_keys_and_objs)
       55    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:267(getuntil)
       11    0.000    0.000    0.005    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:5095(insert)
       37    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1019(__init__)
       23    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/internals/managers.py:935(_verify_integrity)
        1    0.000    0.000    0.002    0.002 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/config_init.py:1(<module>)
      176    0.000    0.000    0.001    0.000 /usr/lib/python3.11/inspect.py:2755(replace)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_compiler.py:386(<listcomp>)
      426    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1828(<genexpr>)
      180    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:1643(__len__)
       13    0.000    0.000    0.008    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/_asarray.py:27(require)
    82/48    0.000    0.000    0.068    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
       90    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/common.py:301(maybe_iterable_to_list)
     1771    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/_ufunc_config.py:434(inner)
      444    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:1699(__eq__)
      448    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
       33    0.000    0.000    0.002    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_validators.py:354(validate_ascending)
      526    0.000    0.000    0.000    0.000 /usr/lib/python3.11/typing.py:2631(final)
     1092    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      120    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      406    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/_sysconfigdata__linux_x86_64-linux-gnu.py:1(<module>)
       15    0.000    0.000    0.094    0.006 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/string.py:28(to_string)
     39/1    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/__config__.py:25(<dictcomp>)
      162    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/util/_validators.py:226(validate_bool_kwarg)
      119    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/numerictypes.py:470(issubdtype)
       15    0.000    0.000    0.093    0.006 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/string.py:40(_get_string_representation)
       54    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/base.py:549(find)
       13    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/accessor.py:63(_add_delegate_accessors)
      298    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:126(_classes_and_not_datetimelike)
       32    0.000    0.000    0.001    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1831(<listcomp>)
      338    0.000    0.000    0.004    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:6312(_index_as_unique)
        1    0.000    0.000    0.001    0.001 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:1225(GroupBy)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.11/datetime.py:592(__new__)
      168    0.000    0.000    0.008    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:6679(_maybe_cast_listlike_indexer)
       44    0.000    0.000    0.001    0.000 /usr/lib/python3.11/pathlib.py:484(_parse_args)
       15    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/formats/format.py:1025(save_to_buffer)
        7    0.000    0.000    0.003    0.000 /usr/lib/python3.11/enum.py:893(_convert_)
        6    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/base_parser.py:115(__init__)
      405    0.000    0.000    0.000    0.000 /usr/lib/python3.11/re/_parser.py:79(groups)
    45/12    0.000    0.000    0.003    0.000 /usr/lib/python3.11/typing.py:1412(_determine_new_args)
       23    0.000    0.000    0.004    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:5455(append)
      826    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      560    0.000    0.000    0.000    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:7678(<genexpr>)
