Welcome to the profile statistics browser.
out_profile/demo.pts% out_profile/demo.pts% Sat Jul 13 23:24:38 2024    out_profile/demo.pts

         2834940 function calls (2799893 primitive calls) in 75.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    83/82    0.032    0.000    0.036    0.000 {built-in method _imp.create_dynamic}
      107    0.031    0.000    0.031    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    16676    0.031    0.000    0.039    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/generic.py:278(__init__)
        3    0.030    0.010    0.030    0.010 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/algorithms.py:457(isin)
     2440    0.029    0.000    0.029    0.000 {built-in method posix.stat}
    11941    0.027    0.000    0.250    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:4626(_get_item_cache)
     3862    0.026    0.000    0.439    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/base.py:1371(_arith_method)
       11    0.025    0.002    0.025    0.002 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/algorithms.py:280(_check_object_for_strings)
     4619    0.024    0.000    0.096    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/construction.py:517(sanitize_array)
       10    0.022    0.002    1.802    0.180 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:1850(_python_apply_general)
      949    0.022    0.000    0.022    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3856    0.020    0.000    0.020    0.000 {built-in method _operator.mul}
    82/48    0.020    0.000    0.068    0.001 {built-in method _imp.exec_dynamic}
       10    0.020    0.002    1.764    0.176 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/ops.py:897(apply_groupwise)
      761    0.020    0.000    0.022    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/numpy/_core/numeric.py:300(full)
    22860    0.019    0.000    0.025    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:5373(__getitem__)
112093/89523    0.019    0.000    0.027    0.000 {built-in method builtins.len}
        1    0.019    0.019    0.024    0.024 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/sorting.py:594(get_flattened_list)
        6    0.019    0.003    0.020    0.003 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:60(__init__)
      534    0.017    0.000    0.017    0.000 {built-in method io.open_code}
    12293    0.017    0.000    0.020    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/indexes/base.py:5323(__contains__)
     8040    0.017    0.000    0.033    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/base.py:836(__iter__)
     8139    0.017    0.000    0.206    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:3983(_ixs)
     3856    0.016    0.000    1.051    0.000 /home/zofia/NPP/cinematic_impact/src/cinematic_impact_package/lib.py:25(<lambda>)
        1    0.016    0.016    0.208    0.208 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:9735(explode)
      199    0.015    0.000    0.015    0.000 {method 'take' of 'numpy.ndarray' objects}
     8136    0.015    0.000    0.106    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/frame.py:4608(_box_col_values)
    72979    0.014    0.000    0.015    0.000 {built-in method builtins.getattr}
     3878    0.014    0.000    0.293    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/series.py:6201(_construct_result)
      170    0.013    0.000    0.013    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/dtypes/missing.py:305(_isna_string_dtype)
  999/982    0.013    0.000    0.079    0.000 {built-in method builtins.__build_class__}
     4092    0.013    0.000    0.297    0.000 /home/zofia/NPP/cinematic_impact/venv/lib/python3.11/site-packages/pandas/core/groupby/ops.py:1149(__iter__)
